uniprot_id,gene_name,log2FoldChange,padj,direction,avg_ratio,ratio_count,description_clean
Q6ZED2,sll7066,-1.785474030349378,1.1323727205026462e-09,Downregulated,,,
P73195,sll1584,-1.0357603470335464,1.2144052309689538e-09,Downregulated,,,
Q6YRT7,slr6067,1.163715634314661,1.5625338027471104e-09,Upregulated,,,
Q6ZEU4,sll5036,-1.2340388487516332,4.413595610178616e-09,Downregulated,,,
P74021,hoxY,1.0068469697571854,4.9871414676993594e-08,Upregulated,,0.0,P74021_SYNY3 Hydrogenase small subunit
Q6ZEX4,sll5006,1.182710538838382,1.425445402114228e-07,Upregulated,,,
Q6YRU0,slr6005,1.1808599562656346,1.8740389565336333e-07,Upregulated,,,
P74263,hypA,1.0446272169444155,2.1965608883333366e-07,Upregulated,,,
P72788,slr1788,-1.2846722589255672,2.1965608883333366e-07,Downregulated,,,
P72639,ssr1853,1.2311687063954888,2.515328195848156e-07,Upregulated,,,
Q6ZEB2,sll7086,-1.3472703750452324,2.900257415003089e-07,Downregulated,,,
Q55152,slr0061,1.1074052669538137,4.131251110997843e-07,Upregulated,,,
Q6YRU8,slr6056,1.0960187560621129,5.251812875276438e-07,Upregulated,,,
P73780,slr1246,1.2082317921920165,1.1851374690318492e-06,Upregulated,,,
P74493,sll1853,1.0673525346419692,2.316087214513114e-06,Upregulated,,,
P73134,slr1023,1.044229973858681,2.45579488530354e-06,Upregulated,,,
P73291,ssl3446,-1.0511719714828436,2.7657197420409425e-06,Downregulated,,,
Q55600,sll0327,-1.1276431241200575,3.1950716283669666e-06,Downregulated,,,
P73269,sll1078,-1.0461291250431843,4.286348083770503e-06,Downregulated,,,
Q55833,sll0478,-1.5817353632893798,4.286348083770503e-06,Downregulated,,,
Q55191,sll0688,1.0501845465997088,4.532884332327239e-06,Upregulated,,,
Q6ZEU3,slr5037,-2.1280874738967377,4.923138049917567e-06,Downregulated,,,
Q6YRU1,slr6063,1.193066918553198,5.845844755084004e-06,Upregulated,,,
Q6YRS7,ssl6077,1.4323824536608578,9.279557512830696e-06,Upregulated,,,
Q55832,sll0479,-1.089063406830455,1.282291074718768e-05,Downregulated,,,
Q6YRT9,slr6065,1.024223548694611,1.3194084056923773e-05,Upregulated,,,
Q55941,sll0790,1.0424957894946845,1.3642370414409592e-05,Upregulated,,,
Q6YRT9,slr6006,1.0223981001824562,1.758330204147145e-05,Upregulated,,,
P52876,sll0615,1.089372050581899,1.8561072275649726e-05,Upregulated,,,
Q6ZEP1,sll5089,1.220383172354143,2.135492957059028e-05,Upregulated,,,
Q6ZER2,ssl5068,-1.0949290457250134,3.892402700159225e-05,Downregulated,,,
Q6YRV2,sll6052,1.4660233094680009,3.933527443105511e-05,Upregulated,,,
P74376,sll0428,1.3506914966673034,4.546398382713883e-05,Upregulated,,,
Q55963,merR,1.3513524000723165,6.517784219726668e-05,Upregulated,,,
Q55599,sll0328,-1.2563429882617194,9.89410156537648e-05,Downregulated,,,
Q6ZEU1,ssl5039,1.1553575268484404,0.0001387522113232741,Upregulated,,,
Q6YRT8,slr6066,1.197192281429048,0.00015601547695075462,Upregulated,,,
P74733,arcC,-1.5785919533306338,0.0001929979317957851,Downregulated,,,
P73042,capA,1.0825717358521378,0.0002790419931071021,Upregulated,,,
Q6YRV9,slr6045,1.0559132829769842,0.0002895170175739862,Upregulated,,,
P72603,sll1405,-1.4774468124129905,0.0003871161970097787,Downregulated,,,
Q6ZEC2,slr7076,-1.060361425589725,0.00040084883231390056,Downregulated,,,
Q6ZE64,ssl8028,-1.0978208183747844,0.0005164102026709781,Downregulated,,,
Q6YRS7,ssl6018,1.0628804234660738,0.0006944271754500441,Upregulated,,,
P74674,ssr2786,1.16296807470349,0.000745188111165192,Upregulated,,,
Q55958,sll0775,-1.0520215917997322,0.0008361020733918988,Downregulated,,,
P28372,chlN,-1.186715015459496,0.0014061059607174,Downregulated,,,
Q6ZES5,slr5055,1.1782231925610995,0.0014142095935696,Upregulated,,,
Q6YRR3,slr6091,1.074014922791638,0.0017076919584867,Upregulated,,,
Q6YS00,slr6004,1.0010558703531132,0.0038120576046076,Upregulated,,,
P73815,ssl3692,1.126019760797342,0.0046193846698636,Upregulated,,,
P74701,slr0462,1.2066832208638585,0.0105136436268651,Upregulated,,0.0,P74701_SYNY3 Transposase
Q55460,cmpA,1.0281187335435873,0.0154820747365857,Upregulated,,,
Q55186,slr0496,1.0558063721564708,0.0172243659628545,Upregulated,,,
Q6ZEP5,slr5085,1.2136160838593526,0.0248382863226939,Upregulated,,,
